ID	B_cells_naive_CIBERSORT	B_cells_memory_CIBERSORT	Plasma_cells_CIBERSORT	T_cells_CD8_CIBERSORT	T_cells_CD4_naive_CIBERSORT	T_cells_CD4_memory_resting_CIBERSORT	T_cells_CD4_memory_activated_CIBERSORT	T_cells_follicular_helper_CIBERSORT	T_cells_regulatory_(Tregs)_CIBERSORT	T_cells_gamma_delta_CIBERSORT	NK_cells_resting_CIBERSORT	NK_cells_activated_CIBERSORT	Monocytes_CIBERSORT	Macrophages_M0_CIBERSORT	Macrophages_M1_CIBERSORT	Macrophages_M2_CIBERSORT	Dendritic_cells_resting_CIBERSORT	Dendritic_cells_activated_CIBERSORT	Mast_cells_resting_CIBERSORT	Mast_cells_activated_CIBERSORT	Eosinophils_CIBERSORT	Neutrophils_CIBERSORT	P-value_CIBERSORT	Correlation_CIBERSORT	RMSE_CIBERSORT
GSM2449658	0.0199967921581074	0	0.000823988452544735	0.114368123019248	0.0614114046803667	0	0.0717011303037518	0	0	0.0285946009382587	0.11816943622269	0	0.159133550084615	0.00882214975125126	0	0	0	0	0.0111937036800921	0	0	0.405785120709074	0	0.833396764133089	0.588542682539066
GSM2449659	3.46570480738815e-05	0.0156432725554295	0.0104187296013083	0.056752143753787	0.0789193539644678	0	0.0534858763337324	0	0	0	0.142024866143094	0	0.216740085282833	0	0	0	0	0.0105686515437444	0.00341030563606868	0	0	0.41200205813746	0	0.840465365915862	0.575018347287947
GSM2449660	0.0222163837419147	0	7.8242973899921e-06	0.217030519338428	0.123833008896672	0	0.077140766993051	0	0.00139162495930435	0	0.148471259679063	0	0.0867169092721435	0	0	0	0	0.00322149548990071	0.00583938621856173	0	0.0141430111875608	0.299987809926009	0	0.802203913651929	0.641989059747709
GSM2449661	0.00329534750492016	0.00291280889318574	0.00407201123035219	0.157933780478828	0.11793485240683	0	0.0546562428420181	0	0	0	0.162505690907386	0	0.108812464778418	0	0	0	0	0.00283848906117491	0.000662084584978604	0	0	0.384376227311908	0	0.825026263271094	0.601687257997133
GSM2449662	0.00717358299199386	0	0.00233416473596863	0.0547907592551852	0.108795266385398	0	0.023097550726592	0	0	0	0.12462752466547	0	0.207704223968563	0.00390567814374825	0	0	0	0.000131077565514148	0.00441846218712003	0	0	0.463021709374448	0	0.862377380872175	0.533491693455249
GSM2449663	0.0167333112475693	0	0.0054262207803447	0.126021753969742	0.0638093313443977	0	0.0623780615899188	0	0	0.120112363570327	0.10242164479058	0	0.201622558268463	0	0.00370022071620389	0	0.00205400278915315	0.00961858701061963	0	0.00985607062951079	0	0.27624587329317	0	0.814627792140931	0.631266139506601
GSM2449664	0	0.00196296288183991	0.00493784156112454	0.115926542809936	0.0555950673597273	0	0.0586066874200476	0	0	0	0.185763421521586	0	0.150196942376002	0	0	0	0	0.0148815463866385	0.00223965862260736	0	0	0.409889329060491	0	0.771453920747534	0.649542884121931
GSM2449665	0.0153078065752018	0	0.00655597764570881	0.276893269953849	0	0	0.105066698717525	0	0	0.0915657947514518	0.123146036180336	0	0.123628617928156	0	0.00315857030320299	0	0.00599410163070088	0.00437536874165603	0	0.00450205474039612	0	0.239805702831816	0	0.805166547111368	0.641954085082031
GSM2449666	0.0261945685291451	0	0.000355301108269527	0.171936599734357	0.152527036716692	0	0.0323095109664945	0	0.00529742988733964	0	0.0982289519201611	0	0.114215762574761	0	0	0	0	0.00103710786422656	0.0153125579983524	0	0.000846332880057713	0.381738839820143	0	0.818782600181477	0.611213565751729
GSM2449667	0.0294826993751772	0	0.00346289778634476	0.0655153414465245	0.125731563441024	0	0.0300207800313061	0	0.00803257898337681	0	0.086655337607976	0	0.176501786711742	0.0308836885430399	0	0	0	0	0.00627273900259102	0	0	0.437440587070898	0	0.857722058688499	0.551672806125004
